y,ds
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
2,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
1,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
1,2023-04-11
0,2023-04-11
1,2023-04-11
0,2023-04-11
0,2023-04-11
1,2023-04-11
2,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
1,2023-04-11
2,2023-04-11
2,2023-04-11
1,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
1,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
1,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
1,2023-04-11
2,2023-04-11
2,2023-04-11
0,2023-04-11
0,2023-04-11
1,2023-04-11
2,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
2,2023-04-11
2,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
1,2023-04-11
2,2023-04-11
2,2023-04-11
3,2023-04-11
2,2023-04-11
3,2023-04-11
4,2023-04-11
4,2023-04-11
5,2023-04-11
3,2023-04-11
3,2023-04-11
5,2023-04-11
4,2023-04-11
4,2023-04-11
4,2023-04-10
4,2023-04-10
5,2023-04-10
5,2023-04-10
5,2023-04-10
5,2023-04-10
5,2023-04-10
5,2023-04-10
6,2023-04-10
7,2023-04-10
5,2023-04-10
5,2023-04-10
5,2023-04-10
5,2023-04-10
6,2023-04-10
6,2023-04-10
6,2023-04-10
5,2023-04-10
6,2023-04-10
5,2023-04-10
5,2023-04-10
5,2023-04-10
5,2023-04-10
4,2023-04-10
6,2023-04-10
4,2023-04-10
4,2023-04-10
5,2023-04-10
5,2023-04-10
5,2023-04-10
5,2023-04-10
3,2023-04-10
3,2023-04-10
2,2023-04-10
3,2023-04-10
3,2023-04-10
5,2023-04-10
3,2023-04-10
3,2023-04-10
4,2023-04-10
6,2023-04-10
5,2023-04-10
5,2023-04-10
5,2023-04-10
3,2023-04-10
5,2023-04-10
7,2023-04-10
5,2023-04-10
3,2023-04-10
4,2023-04-10
3,2023-04-10
4,2023-04-10
2,2023-04-10
5,2023-04-10
4,2023-04-10
3,2023-04-10
2,2023-04-10
3,2023-04-10
2,2023-04-10
2,2023-04-10
1,2023-04-10
0,2023-04-10
1,2023-04-10
2,2023-04-10
1,2023-04-10
1,2023-04-10
3,2023-04-10
3,2023-04-10
2,2023-04-10
2,2023-04-10
3,2023-04-10
2,2023-04-10
4,2023-04-10
2,2023-04-10
1,2023-04-10
1,2023-04-10
2,2023-04-10
5,2023-04-10
5,2023-04-10
5,2023-04-10
4,2023-04-10
2,2023-04-10
1,2023-04-10
3,2023-04-10
3,2023-04-10
2,2023-04-10
4,2023-04-10
2,2023-04-10
2,2023-04-10
4,2023-04-10
3,2023-04-10
2,2023-04-10
1,2023-04-10
1,2023-04-10
1,2023-04-10
2,2023-04-10
0,2023-04-10
0,2023-04-10
1,2023-04-10
2,2023-04-10
0,2023-04-10
2,2023-04-10
1,2023-04-10
1,2023-04-10
0,2023-04-10
1,2023-04-10
1,2023-04-10
1,2023-04-10
1,2023-04-10
1,2023-04-10
2,2023-04-10
2,2023-04-10
2,2023-04-10
1,2023-04-10
0,2023-04-10
0,2023-04-10
0,2023-04-10
1,2023-04-10
1,2023-04-10
2,2023-04-10
2,2023-04-10
0,2023-04-10
0,2023-04-10
1,2023-04-10
0,2023-04-10
0,2023-04-10
0,2023-04-10
0,2023-04-10
0,2023-04-10
0,2023-04-10
0,2023-04-10
0,2023-04-10
0,2023-04-10
0,2023-04-10
1,2023-04-10
0,2023-04-10
0,2023-04-10
0,2023-04-10
1,2023-04-10
0,2023-04-10
0,2023-04-10
0,2023-04-10
1,2023-04-10
0,2023-04-10
1,2023-04-10
0,2023-04-10
0,2023-04-10
1,2023-04-10
2,2023-04-10
1,2023-04-10
0,2023-04-10
0,2023-04-10
0,2023-04-10
2,2023-04-10
2,2023-04-10
3,2023-04-10
